,CHOPER,CHOPERD
0,PC,PEGASUS AIRLINES
1,LY,EL AL ISRAEL AIRLINES
2,TK,TURKISH AIRLINES
3,LX,SWISS INT`L  AIRLINES
4,FB,BULGARIA  AIR
5,QS,SMARTWINGS
6,6H,ISRAIR AIRLINES
7,LAU,LAUFER GHI
8,W6,WIZZAIR
9,SU,AEROFLOT RUSSIAN AIRLINES
10,IZ,ARKIA  ISRAELI  AIRLINES
11,U8,TUS AIRWAYS
12,3U,SICHUAN AIRLINES
13,AA,AMERICAN AIRLINES
14,AM,AERO MEXICO
15,EK,EMIRATES
16,FZ,FLYDUBAI
17,FR,RYANAIR
18,IB,IBERIA
19,ICL,C.A.L ISRAELI CARGO
20,JU,AIR SERBIA
21,AR,AEROLINEAS ARGENTINAS S.A.
22,HU,HAINAN AIRLINES
23,EZS,EASY JET SWITZERLAND
24,MS,EGYPTAIR AIRLINES
25,GF,GULF AIR - BAHREIN
26,AHS,AERO HANDLING
27,TO,TRANSAVIA FRANCE
28,EJU,EASYJET EUROPE AIRLINE
29,PS,UKRAINE INTL  AIR
30,QAS,QUALITY AIR SERVICES
31,CHG,CHALLENGE AIRLINES
32,AF,AIR FRANCE
33,DL,DELTA AIRLINES
34,KL,K.L.M.
35,MNB,MNG CARGO AIRLINES
36,FX,FEDERAL EXPRESS
37,QY,EUROPEAN AIR TRANSPORT
38,S7,SIBERIA AIRLINES
39,UA,UNITED AIRLINES
40,LH,LUFTHANSA
41,OS,AUSTRIAN AIRLINES
42,NJE,NETJETS
43,EZY,EASYJET
44,3V,ASL AIRLINES BELGIUM
45,A9,GEORGIAN AIRWAYS
46,5X,UPS AIRLINES
47,QF,QANTAS AIRWAYS
48,VY,VUELING AIRLINES S.A.
49,RO,TAROM - RUMANIAN AIR TRANSPORT
50,TG,THAI AIRWAYS
51,VN,VIETNAM AIRLINES
52,5W,WIZZ AIR ABU DHABI
53,AY,FINNAIR
54,ET,ETHIOPIAN AIRLINES
55,KQ,KENIA AIRWAYS
56,LO,LOT POLISH AIRLINES
57,OK,CZECH AIRLINES
58,TP,AIR PORTUGAL
59,XC,CORONDON AIRLINES
60,PQ,SKYUP AIRLINES
61,N4,NORD WIND
62,BA,BRITISH AIRWAYS PLC
63,HY,UZBEKISTAN AIR
64,A3,AEGEAN  AIRLINES
65,W9,WIZZ UK
66,AI,AIR INDIA
67,AZG,SILK WAY WEST AIRLINES
68,AZ,ITALIA TRASPORTO AEREO
69,EY,ETIHAD AIRWAYS
70,PLM,WAMOS AIR
71,9T,ACT AIRLINES Inc.
72,TB,JET AIRFLY
73,UX,AIR EUROPA Lineas Aereas S.A.U
74,F7,I FLY LTD
75,AJT,AMERIJET INTERNATIONAL
76,HM,AIR SEYCHELLES
77,VS,VIRGIN ATLANTIC AIRWAYS
78,MEM,AIR COMPANY MERIDIAN LTD.
79,9U,AIR MOLDOVA
80,FH,FREEBIRD AIRLINES
81,TWI,TAILWIND AIRLINES
82,B2,BELAVIA AIRLINE
83,5F,FLYONE
84,SN,BRUSSELS AIRLINES
85,FV,ROSSIYA AIRLINES
86,CX,CATHAY PACIFIC AIRWAYS
87,HV,TRANSAVIA
88,HAT,AIR HORIZONT
89,RJ,ROYAL  JORDANIAN
90,GAF,GERMAN AIR FORCE
91,AC,AIR CANADA
92,U6,URAL AIR
93,SSF,AIRCOMPANY SERERSTAL
94,USF,USA AIR FORCE
95,MJ,MYWAY AIRLINES
96,VJT,vista jet air
97,ENT,ENTER AIR
98,BUC,EUROPEAN AIR CHARTER
99,RU,AIRBRIDGE CARGO AIRLINES
3,A4,AZIMUTH AIRLINES
13,SK,SAS
24,BZ,BLUE BIRD AIRWAYS
78,WZ,RED WINGS AIRLINES
184,B6,JETBLUE AIRWAYS CORPORATION
213,NH,ALL NIPPON AIRWAYS
1079,H7,HISKY
