,CHLOC1,CHLOC1D
0,SAW,ISTANBUL-SABIHA GOKCHEN
1,PRG,PRAGUE-RUZYNE
2,IST,ISTANBUL
3,ZRH,ZURICH
4,SOF,SOFIA
5,PFO,PAPHOS
6,ETM,RAMON
7,BUD,BUDAPEST
8,OTP,BUCHAREST - OTOPENI
9,SVO,MOSCOW
10,BUS,BATUMI
11,LCA,LARNACA
12,CTU,CHENGDU
13,CDG,PARIS-CHARLES DE GAULLE
14,LHR,LONDON - HEATHROW
15,DXB,DUBAI
16,JMK,MIKONOS
17,ATH,ATHENS
18,BCN,BARCELONA
19,HKG,HONG KONG INT'L
20,VIE,VIENNA
21,LGG,LIEGE
22,WAW,WARSAW
23,JFK,NEW YORK - J.F.KENNEDY
24,CAN,GUANGZHOU
25,GVA,GENEVA
26,NAP,NAPLES-CAPODICHINO
27,CAI,CAIRO INTERNATIONAL
28,BAH,BAHRAIN
29,STN,LONDON -STANSTED
30,YYZ,TORONTO
31,BSL,BASEL
32,ORY,PARIS-ORLY
33,AMS,AMSTERDAM
34,KBP,KIEV KYIV-BORISPOL
35,TEB,TETERBORO
36,LAX,LOS ANGELES
37,EWR,NEW YORK - NEWARK
38,VKO,MOSCOW-VNUKOVO
39,STR,STUTTGART
40,PVG,SHANGHAI PUDONG
41,FCO,ROME - FIUMICINO
42,BEG,BELGRADE
43,CGN,COLOGNE-BONN
44,ABZ,ABERDEEN
45,BRU,BRUSSELS
46,MXP,MILAN-MALPENSA
47,DME,MOSCOW-DOMODEDOVO
48,MUC,MUNICH
49,BGY,BERGAMO
50,MIA,MIAMI INTERNATIONAL
51,MAD,MADRID
52,SSH,SHARM EL SHEIKH
53,BER,BERLIN BRANDENBURG INTL
54,LTN,LUTON
55,SFO,SAN FRANCISCO
56,TBS,TBILISI
57,ESB,ANKARA-ESENBUGA
58,MAN,MANCHESTER
59,SKG,THESSALONIKI
60,FRA,FRANKFURT
61,JNB,JOHANNESBURG
62,LEJ,LEIPZIG-HALLE
63,BKK,BANGKOK INTL.-SUVARNABHUMI
64,CMF,CHAMBERY-AIX LES BAINS
65,AUH,ABU DHABI
66,LBG,PARIS-LE BOURGET
67,HEL,HELSINKI
68,ADD,ADDIS ABABA
69,RAK,MARRAKESH
70,RZE,RZESZOW-JASIONKA
71,AMM,AMMAN (QUEEN ALIA INT'L)
72,PMI,PALMA DE MALLORCA
73,TLV,TEL AVIV
74,JRO,KILIMANJARO
75,ODS,ODESA
76,SNN,SHANNON
77,KRK,KRAKOW
78,AYT,ANTALYA
79,VNO,VILNIUS INTL
80,CRL,BRUSSELS -  CHARLEROI
81,DWC,DUBAI AL MAKTOUM INT AP
82,LIN,MILAN-LINATE
83,LYS,LYON - SATOLAS
84,LED,ST. PETERSBURG
85,AZI,AL BATEEN EXECUTIVE AP
86,EMA,NOTTINGHAM
87,LGW,LONDON - GATWICK
88,TAS,TASHKENT
89,BOM,MUMBAI
90,MRS,MARSEILLE
91,NCE,NICE
92,OSL,OSLO
93,DEL,DELHI
94,BQH,BIGGIN HILL
95,GYD,BAKU HEYDAR ALIYEV INT`L
96,RBA,RABAT
97,ZAZ,ZARAGOZA
98,BBU,BUCHAREST- BANEASA
99,OPO,PORTO
100,DLM,DALAMAN
101,RVN,ROVANIEMI
102,BLQ,BOLOGNA-BORGO PANIGALE
103,ALA,ALMATY
104,BFS,BELFAST - ALDERGROVE
105,LIS,LISBON
106,EIN,EINDHOVEN
107,SHJ,SHARJAH
108,TRN,TURIN
109,SEZ,MAHE SEYCHELLES INTL
110,HKT,PHUKET
111,KIV,CHISINAU
112,MSQ,MINSK
113,TSF,TREVISO
114,WMI,WARSAW- MODLIN
115,DUB,DUBLIN
116,VAR,VARNA
117,BED,BEDFORD-LAURENCE G. HANSCOM
118,CMN,CASABLANCA-MOHAMMED V
119,INN,INNSBRUCK
120,POZ,POZNAN
121,IAD,WASHINGTON-DULLES
122,FAB,FARNBOROUGH
123,SMV,SAMEDAN
124,TER,LAJES-AZORES
125,IAS,IASI
126,RIX,RIGA
127,RPN,ROSH PINA
128,LHA,LAHR
129,BAK,BAKU
130,IRE,PRATICA DI MARE(MIL)
131,BHX,BIRMINGHAM
132,ADJ,AMMAN-MARKA
133,IND,INDIANAPOLIS
134,RMS,RAMSTEIN
135,BCM,BACAU
136,TIA,TIRANA
137,KID,KRISTIANSTAD
138,CFE,CLERMONT-FERRAND
139,VRN,VILLAFRANCA-VERONA
140,FAR,FARO
141,BBK,KASANE INTERNATIONAL AIRPORT
142,ALL,ALBENGA
143,ISL,ISTANBUL-ATATURK
144,SCV,SUCEAVA-ROMANIA
145,BWE,BRAUNSCHWEIG
146,ORD,CHICAGO - O'HARE
147,MRV,MINERALNYE VODY
148,KTW,KATOWICE
149,CIA,ROME - CIAMPINO
150,EVN,YEREVAN
151,VLC,VALENCIA
152,CPH,COPENHAGEN KASTRUP
153,MLA,MALTA
154,MHT,MANCHESTER AIRPORT USA
155,HAM,HAMBURG
156,VCE,VENICE
157,BRI,BARI -PALESE MACCHIE
158,PUF,PAU-FRANCE
159,BGI,BRIDGETOWN
160,SKP,SKOPJE
161,LNZ,LINZ
162,FKB,BADEN BADEN
163,AQJ,AQABA
164,BMA,STOCKHOLM-BROMMA
3,AER,SOCHI
75,RMO,CHISINAU
91,FMM,MEMMINGEN
187,BOS,BOSTON-LOGAN INT
312,SZX,SHENZHEN  BAOAN INT.
